split,utt_id,speaker_id,gender,age,audio_path,text,accuracy,completeness,fluency,prosodic,total
train,000010011,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010011.WAV,WE CALL IT BEAR,8,10.0,9,9,8
train,000010035,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010035.WAV,ZERO THREE FIVE ONE,8,10.0,9,9,8
train,000010053,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010053.WAV,THREE TWO TWO SEVEN,9,10.0,10,10,9
train,000010063,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010063.WAV,ELEPHANTS TAI GOOSE,10,10.0,9,9,9
train,000010069,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010069.WAV,TOM GIVES UP BOXING,9,10.0,9,10,9
train,000010075,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010075.WAV,HE HATES SHOOTING,9,10.0,9,9,9
train,000010089,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010089.WAV,MANDY HAS A BIG ARM,10,10.0,9,9,9
train,000010095,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010095.WAV,LOOK AT ANN'S PANTS,10,10.0,9,9,9
train,000010106,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010106.WAV,WHAT ABOUT THE BUS,9,10.0,9,8,8
train,000010113,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010113.WAV,THEN HE WENT TO THEME PARK,6,10.0,9,8,5
train,000010115,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010115.WAV,LET'S GO TO THE RESTROOM,9,10.0,9,9,9
train,000010121,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010121.WAV,THEN MIKE WALKS TO COFFEE,9,10.0,9,9,8
train,000010122,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010122.WAV,SO MARY WENT ON TO STUDY,9,10.0,9,9,9
train,000010133,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010133.WAV,KATE GOT THE TOMATO,8,10.0,8,8,8
train,000010135,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010135.WAV,TINA LOVES EGGPLANT,8,10.0,9,9,8
train,000010140,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010140.WAV,DORA IS NOT A CLEANER,8,10.0,9,9,8
train,000010145,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010145.WAV,MARK LIVED IN NEW YORK,9,10.0,9,9,9
train,000010149,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010149.WAV,BOB LIVES IN CAIRO NOW,8,10.0,9,8,8
train,000010168,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010168.WAV,BYE,10,10.0,10,10,10
train,000010173,0001,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0001\000010173.WAV,TREES,9,10.0,10,9,9
train,000050003,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050003.WAV,MIKE LIKES THE WHITE ONE,8,10.0,6,7,7
train,000050010,0005,m,6,C:\Users\azizg\Desktop\pfe-d\data\clarity_datasets\speechocean762\WAVE\SPEAKER0005\000050010.WAV,ITS NAME IS SAY,7,10.0,7,7,7
